Unique ID,Vin,Make,Model,Model Year,Vehicle Type,Driveline,Trim,City,Zip Code,State,County,County FIPS,Utility,Utility ID
1,2C4RC1S79MR522605,Chrysler,Pacifica,2021,PHEV,FWD,Hybrid Limited RU,EAGAN,55121,MN,Dakota,27037,Xcel Energy,85
2,WP0AE2A74JL174196,Porsche,Panamera,2018,PHEV,AWD,Type 971 4 E-Hybrid,CHASKA,55318,MN,Carver,27019,City of Chaska,34
3,YV4BR0DK5M1739162,Volvo,XC60,2021,PHEV,AWD,FWD/eAWD (T8) TZEV/PHEV Momentum,MINNEAPOLIS,55410,MN,Hennepin,27053,Xcel Energy,85
4,1G1RA6S5XJU120228,Chevrolet,Volt,2018,PHEV,FWD,LT w/ Standard Emission Package w/Standard Emissions,MINNEAPOLIS,55406,MN,Hennepin,27053,Xcel Energy,85
5,1G1RA6S5XJU120410,Chevrolet,Volt,2018,PHEV,FWD,LT w/ Standard Emission Package w/Standard Emissions,WHITE BEAR LAKE,55110,MN,Ramsey,27123,Xcel Energy,85
6,1G1RA6S55JU108648,Chevrolet,Volt,2018,PHEV,FWD,LT w/ Standard Emission Package w/Standard Emissions,SAINT PAUL,55104,MN,Ramsey,27037,Xcel Energy,85
7,JA4J24A59LZ028079,Mitsubishi,Outlander - PHEV,2020,PHEV,AWD,GT SEL High,SAINT PAUL,55105,MN,Ramsey,27037,Xcel Energy,85
8,5YJSA1E22MF426155,Tesla,Model S,2021,BEV,AWD,Base,WHITE BEAR LAKE,55110,MN,Ramsey,27123,Xcel Energy,85
9,1G1FY6S08L4129404,Chevrolet,Bolt EV,2020,BEV,FWD,LT W/DC Fast Charging,SAINT PAUL,55105,MN,Ramsey,27037,Xcel Energy,85
10,1G1FZ6S06L4145341,Chevrolet,Bolt EV,2020,BEV,FWD,Premier W/DC Fast Charging,SAINT PAUL,55104,MN,Ramsey,27037,Xcel Energy,85
11,1G1RB6S51JU154281,Chevrolet,Volt,2018,PHEV,FWD,LTZ w/ Standard Emission Package Premier w/Standard Emissions,SAINT PAUL,55106,MN,Ramsey,27037,Xcel Energy,85
12,5YJ3E1EC6MF868423,Tesla,Model 3,2021,BEV,RWD,Performance,SAINT PAUL,55127,MN,Ramsey,27037,Connexus Energy,26
13,5YJ3E1EB6MF859633,Tesla,Model 3,2021,BEV,AWD,Long Range,STILLWATER,55082,MN,Washington,27163,Xcel Energy,85
14,1G1RA6E43CU108072,Chevrolet,Volt,2012,PHEV,FWD,Standard w/o Leather Navigation,ADA,56510,MN,Norman,27107,City of Ada,139
15,5YJSA1H25FF096770,Tesla,Model S,2015,BEV,RWD,85D,FARIBAULT,55021,MN,Rice,27131,Xcel Energy,85
16,5YJYGDEE5LF033060,Tesla,Model Y,2020,BEV,,Long Range,AFTON,55001,MN,Washington,27163,Xcel Energy,85
17,WA1VABGE2KB020171,Audi,e-tron,2019,BEV,AWD,e-tron quattro Prestige,AFTON,55001,MN,Washington,27163,Xcel Energy,85
18,5UXTS1C06L9C33777,BMW,X3,2020,PHEV,AWD,3-Series xDrive30ie xDrive30e,AFTON,55001,MN,Washington,27163,Xcel Energy,85
19,WMZYU7C40J3B86298,Mini,Cooper S Countryman,2018,PHEV,AWD,Hybrid S E ALL4 Cooper SE,AFTON,55001,MN,Washington,27163,Xcel Energy,85
20,JA4J24A55KZ054807,Mitsubishi,Outlander - PHEV,2019,PHEV,AWD,SEL GT High,AFTON,55001,MN,Washington,27163,Xcel Energy,85
21,5YJ3E1EA0JF154927,Tesla,Model 3,2018,BEV,AWD,Base,AFTON,55001,MN,Washington,27163,Xcel Energy,85
22,5YJ3E1EA2JF033641,Tesla,Model 3,2018,BEV,AWD,Base,AFTON,55001,MN,Washington,27163,Xcel Energy,85
23,5YJ3E1EB4JF086785,Tesla,Model 3,2018,BEV,AWD,Base,AFTON,55001,MN,Washington,27163,Xcel Energy,85
24,5YJ3E1EB9JF103080,Tesla,Model 3,2018,BEV,AWD,Base,AFTON,55001,MN,Washington,27163,Xcel Energy,85
